DATAS= 0, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.00, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.79453, R2pers = 0.76403, iteration = 0
DATAS= 0, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.00, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.79642, R2pers = 0.76403, iteration = 0
DATAS= 0, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.00, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.79437, R2pers = 0.76403, iteration = 0
DATAS= 1, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.00, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.78274, R2pers = 0.75841, iteration = 0
DATAS= 2, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.00, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.84124, R2pers = 0.82289, iteration = 0
DATAS= 3, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.00, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.93317, R2pers = 0.91339, iteration = 0
DATAS= 4, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.00, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.89525, R2pers = 0.89250, iteration = 0
DATAS= 5, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.00, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.99967, R2pers = 0.99989, iteration = 0
DATAS= 6, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.00, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.98550, R2pers = 0.98545, iteration = 0
DATAS= 7, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.00, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.94045, R2pers = 0.93767, iteration = 0
DATAS= 8, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.00, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 1.00000, R2pers = 0.52066, iteration = 0
====================================================================================================
DATAS= 0, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.50, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.79263, R2pers = 0.76403, iteration = 0
DATAS= 0, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 0, NNEUR= 32, DROP= 0.90, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.78038, R2pers = 0.76403, iteration = 0
DATAS= 0, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 1, NNEUR= 32, DROP= 0.90, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.78969, R2pers = 0.76403, iteration = 0
DATAS= 1, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 1, NNEUR= 32, DROP= 0.90, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.77087, R2pers = 0.75841, iteration = 0
DATAS= 2, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 1, NNEUR= 32, DROP= 0.90, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.82584, R2pers = 0.82289, iteration = 0
DATAS= 3, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 1, NNEUR= 32, DROP= 0.90, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.92330, R2pers = 0.91339, iteration = 0
DATAS= 4, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 1, NNEUR= 32, DROP= 0.90, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.89058, R2pers = 0.89250, iteration = 0
DATAS= 5, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 1, NNEUR= 32, DROP= 0.90, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.99945, R2pers = 0.99989, iteration = 0
DATAS= 6, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 1, NNEUR= 32, DROP= 0.90, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.98298, R2pers = 0.98545, iteration = 0
DATAS= 7, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 1, NNEUR= 32, DROP= 0.90, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.93792, R2pers = 0.93767, iteration = 0
DATAS= 8, LAG= 6, AHEAD= 1, RNN= LSTM, NLAY= 1, NNEUR= 32, DROP= 0.90, ACT= tanh, RACT= hard_sigmoid, OPT= adam, R2Test = 0.95713, R2pers = 0.52066, iteration = 0
====================================================================================================
